LABEL,TEXT
Smishing,"REAL NAME, Don’t miss GoJackpot amazing deal! Get 100% welcome bonus 777 + 3% GCash + Claim P888 cashback Play now! Gojcasino0.com"
spam,"Good Morning Sir, inform ko lng po kayo na forfeited na po yung unit nyo since wla po kayo paramamdam If willing pa po kyo kunin yung pwde n,n po kaso need nyo magbyad ng storage fee 50 per day. From 1 month up to now. Thank you upupurged na po nmiin today yung unit since angtagal na po ksi sain nito wla po kakyong prmdam thank you"
Smishing,"REAL NAME, Play at SBET for P21 million jackpot. Get 1% Gcash deposit + 1.2% unlimited rebate. Enjoy Sabong, Slots, and More. Join phsbet3.com"
Smishing,"REAL NAME, GoJackpot’s amazing deal! 100% welcome bonus up to P777 + 3% GCash + Claim P888 cashback. Play now! Gojpot4.com"
Smishing,Upgrade now & win big REAL NAME! Top earners get P190K bonus. GoJackpot rewards you every step of the way. Visit jpcbet1.com
Smishing,"REAL NAME, Get started at U B E T. Claim 100% Welcome Bonus Get P2000 +3% Gcash & 5% USDT bonu Claim your rewards now! U7betph1.com"
Smishing,"REAL NAME, Magrehistro sa U B E T at Manalo ng 100% Welcome Bonus hanggang P2000 + 3% Gcash deposit bonus. Buksan ang link na ito! U7betph1.com"
Smishing,"REAL NAME, Ready to win? Log in now at GoJackpot, play slots, and claim your prize up to, 4777 + 3% Gcash deposit bonus. Join now! bfpoker2.com"
Smishing,"REAL NAME, Not to be missed: P4,888 + 3% Gcash Bonus in the W+ Dynasty Deposit Tournament. Claim a welcome bonus of up to P1,000. At wpgorush.com"
Smishing,"Banco De Oro: Account permanently locked due to suspicious Activity, to unlock Visit: titan.is/click immediately."
Smishing,"Banco De Oro: Account permanently locked due to suspicious Activity, to unlock Visit: tera.vin/click immediately."
spam,"8*K*8 bagong miyembro 100% cash back benefit, Dep0s1t 188 at makukuha ng 188 fr33, i-click ang { http://ph14.in } para i-claim ito."
spam,"REAL NAME, Join U B E T now for big wins:  Claim P2000 +3% GCash Bonus and aim for up to 30,000! Visit now!  unibonu.com"
Smishing,"SG777 Magrehistro upang makatanggap ng 137p, tumya sa pulang sobre na bonus araw-araw, at tumanggap ngcash na pulang sobre araw-araw: https://sg777.live/"
Smishing,"Mga nangungunang laro sa casino, bingo, at mga slot machine, magarehistro at mag-deposito ng P197 upang makatanggap ng 100% cashback bonus. P777c13.site"
Smishing,Happy Jackpot Slot Weekend at GoJackpotCiity! Join MADNESS SLOT to win 4777 prizes & get 53% extra deposit bonus. New users get 153% bonus. Visit GoJpluck.com
spam,"Twin Bonanza Month-End Giveaway at SugarPlay! Win up to 128,888 prizes! New users get 2,000P free on sign-up! Explore More Event 58,888 Free Bonus at sp7go.com"
spam,Weekend alert at WinningPlus! Claim 153% WEEKLY DEPOSIT BONUS tomorrow! New users get free 1000 bonus & 103% on deposits. Win Big JJackpot Slot at JoyWWplus.com
spam,"REAL NAME, Join SugarPlay for the Month-End Bonanza! Win u to 128,888 prizes and grab 2,000 free credits as a new user. Visit Sgplaynow2.com"
Smishing,"REAL NAME, WinningPlus Weekend Opportunity! Tomorrow, grab your 153%% WEEKLY DEPOSIT BONUS. New users also enjoy a free 1000 bonus! Play at"
spam,"Welcome October! New User, get 2000 bonus for High-Ratee Slots Jackpot at SugarPlay! Don’t miss out More 28888 Bonus in Promo Events! Join now at Sp7Go1.com"
Smishing,"Embrace your inner luck! Become a Super Lucky Star at WinningPlus, Claim 1000 Bonus for Slot Jackpots, and seize more benefits. Be Winner now at JoyWinplus.com"
ham,"Dear participant, this is Jen from Sophos. You have been selected to join the upcoming APC x Sophos Internship Recruitment on Wednesday, 25th October 2023 from 1PM-2:30PM. Please check your email/s and accept our invite for confirmation of attendance. Thanks and see you soon!"
